RCP,city,year,value
45,Athens,2064,23.3469314575195
45,Athens,2065,23.7440814971924
45,Athens,2066,23.7951278686523
45,Athens,2067,24.5076580047607
45,Athens,2068,24.5157642364502
45,Athens,2069,24.7445373535156
45,Athens,2070,24.5551433563232
45,Athens,2071,24.352689743042
45,Athens,2072,24.3772506713867
45,Athens,2073,24.795295715332
45,Athens,2074,25.0342960357666
45,Athens,2075,25.6010227203369
45,Athens,2076,25.6762790679932
45,Athens,2077,25.7627658843994
45,Athens,2078,25.6271018981934
45,Athens,2079,25.3412227630615
45,Athens,2080,25.3474788665771
45,Athens,2081,25.7372989654541
45,Athens,2082,25.8311767578125
45,Athens,2083,25.9817523956299
45,Athens,2084,26.7957382202148
45,Athens,2085,26.9812526702881
45,Barcelona,1986,3.00462651252747
45,Barcelona,1987,3.11053705215454
45,Barcelona,1988,3.2334578037262
45,Barcelona,1989,2.9748809337616
45,Barcelona,1990,3.01118779182434
45,Barcelona,1991,3.0055844783783
45,Barcelona,1992,3.22242856025696
45,Barcelona,1993,3.53047776222229
45,Barcelona,1994,3.55041933059692
45,Barcelona,1995,3.83848452568054
45,Barcelona,1996,3.84447240829468
45,Barcelona,1997,4.00401926040649
45,Barcelona,1998,4.29787683486938
45,Barcelona,1999,4.55722856521606
45,Barcelona,2000,4.67302370071411
45,Barcelona,2001,5.17540454864502
45,Barcelona,2002,5.49834251403809
45,Barcelona,2003,5.55206775665283
45,Barcelona,2004,5.93470144271851
45,Barcelona,2005,6.2060284614563
45,Barcelona,2006,6.2848596572876
45,Barcelona,2007,6.49185419082642
45,Barcelona,2008,6.80101585388184
45,Barcelona,2009,6.90898752212524
45,Barcelona,2010,6.97975826263428
45,Barcelona,2011,7.06130218505859
45,Barcelona,2012,7.50842332839966
45,Barcelona,2013,7.77975034713745
45,Barcelona,2014,8.01186847686768
45,Barcelona,2015,8.22024917602539
45,Barcelona,2016,8.15895938873291
45,Barcelona,2017,8.34614181518555
45,Barcelona,2018,8.18520832061768
45,Barcelona,2019,8.55670070648193
45,Barcelona,2020,8.78736209869385
45,Barcelona,2021,8.9037914276123
45,Barcelona,2022,8.94785022735596
45,Barcelona,2023,8.82372570037842
45,Barcelona,2024,8.87140941619873
45,Barcelona,2025,9.41257667541504
45,Barcelona,2026,9.5487699508667
45,Barcelona,2027,10.184175491333
45,Barcelona,2028,10.6405477523804
45,Barcelona,2029,11.0208301544189
45,Barcelona,2030,11.4642152786255
45,Barcelona,2031,11.1985607147217
45,Barcelona,2032,11.0014743804932
45,Barcelona,2033,12.0073137283325
45,Barcelona,2034,12.0798301696777
45,Barcelona,2035,11.9373874664307
45,Barcelona,2036,12.5445995330811
45,Barcelona,2037,13.0061655044556
45,Barcelona,2038,13.0924644470215
45,Barcelona,2039,13.3294982910156
45,Barcelona,2040,13.7599754333496
45,Barcelona,2041,14.4212865829468
45,Barcelona,2042,14.2883605957031
45,Barcelona,2043,14.5037412643433
45,Barcelona,2044,14.890438079834
45,Barcelona,2045,15.2313280105591
45,Barcelona,2046,15.5895528793335
45,Barcelona,2047,15.6237497329712
45,Barcelona,2048,16.1512832641602
45,Barcelona,2049,16.5910778045654
45,Barcelona,2050,17.0296268463135
45,Barcelona,2051,17.6287727355957
45,Barcelona,2052,17.7956523895264
45,Barcelona,2053,18.1304779052734
45,Barcelona,2054,18.4614124298096
45,Barcelona,2055,18.479564666748
45,Barcelona,2056,18.9691104888916
45,Barcelona,2057,18.8282299041748
45,Barcelona,2058,18.791675567627
45,Barcelona,2059,18.9570140838623
45,Barcelona,2060,19.0971927642822
45,Barcelona,2061,19.7804775238037
45,Barcelona,2062,20.5018157958984
45,Barcelona,2063,19.9601955413818
45,Barcelona,2064,19.9539470672607
45,Barcelona,2065,20.3984680175781
45,Barcelona,2066,20.3306350708008
45,Barcelona,2067,20.6628303527832
45,Barcelona,2068,20.700267791748
45,Barcelona,2069,21.4457530975342
45,Barcelona,2070,21.5155944824219
45,Barcelona,2071,21.3795547485352
45,Barcelona,2072,22.0018539428711
45,Barcelona,2073,22.4168567657471
45,Barcelona,2074,22.8408012390137
45,Barcelona,2075,22.7591075897217
45,Barcelona,2076,22.8242130279541
45,Barcelona,2077,22.8248462677002
45,Barcelona,2078,23.29030418396
45,Barcelona,2079,23.381929397583
45,Barcelona,2080,23.4274158477783
45,Barcelona,2081,23.3850727081299
