"city","year","value"
"Paris","1999",163.423294067383
"Paris","2000",164.023559570312
"Paris","2001",164.782806396484
"Paris","2002",165.502319335938
"Paris","2003",165.618545532227
"Paris","2004",165.550994873047
"Paris","2005",166.424774169922
"Paris","2006",166.321487426758
"Paris","2007",166.246170043945
"Paris","2008",166.41796875
"Paris","2009",166.193542480469
"Paris","2010",166.458633422852
"Paris","2011",166.636352539062
"Paris","2012",166.781402587891
"Paris","2013",168.384552001953
"Paris","2014",167.419418334961
"Paris","2015",167.463409423828
"Paris","2016",167.640686035156
"Paris","2017",167.326614379883
"Paris","2018",167.479370117188
"Paris","2019",167.433013916016
"Paris","2020",167.599685668945
"Paris","2021",168.445907592773
"Paris","2022",167.878372192383
"Paris","2023",168.053894042969
"Paris","2024",168.235595703125
"Paris","2025",168.493438720703
"Paris","2026",169.599578857422
"Paris","2027",169.617950439453
"Paris","2028",169.953521728516
"Paris","2029",169.96028137207
"Paris","2030",170.092041015625
"Paris","2031",169.757827758789
"Paris","2032",169.863967895508
"Paris","2033",169.998748779297
"Paris","2034",170.015014648438
"Paris","2035",170.031997680664
"Paris","2036",170.135452270508
"Paris","2037",170.931289672852
"Paris","2038",170.806427001953
"Paris","2039",171.03759765625
"Paris","2040",170.943008422852
"Paris","2041",171.616607666016
"Paris","2042",171.731216430664
"Paris","2043",171.014541625977
"Paris","2044",171.966003417969
"Paris","2045",171.188674926758
"Paris","2046",171.275375366211
"Paris","2047",171.704544067383
"Paris","2048",171.722442626953
"Paris","2049",170.997177124023
"Paris","2050",171.055511474609
"Paris","2051",171.080810546875
"Paris","2052",170.346389770508
"Paris","2053",170.316604614258
"Paris","2054",170.235641479492
"Paris","2055",170.53564453125
"Paris","2056",170.575729370117
"Paris","2057",170.690505981445
"Paris","2058",170.813186645508
"Paris","2059",170.681121826172
"Paris","2060",170.71533203125
"Paris","2061",171.028884887695
"Paris","2062",171.119445800781
"Paris","2063",171.13818359375
"Paris","2064",171.259017944336
"Paris","2065",171.171340942383
"Paris","2066",171.266296386719
"Paris","2067",171.286819458008
"Paris","2068",171.383651733398
"Paris","2069",171.439407348633
"Paris","2070",171.509094238281
"Paris","2071",171.664657592773
"Paris","2072",171.763778686523
"Paris","2073",172.498291015625
"Paris","2074",172.581237792969
"Paris","2075",173.339569091797
"Paris","2076",173.229736328125
"Paris","2077",173.265045166016
"Paris","2078",173.414215087891
"Paris","2079",174.144180297852
"Paris","2080",174.059783935547
"Paris","2081",174.037063598633
"Paris","2082",175.52912902832
"Paris","2083",175.574264526367
"Paris","2084",175.672866821289
"Paris","2085",175.656188964844
