"city","year","value"
"Milan","1990",3.4022319316864
"Milan","1991",3.59660077095032
"Milan","1992",3.74602627754211
"Milan","1993",3.89178085327148
"Milan","1994",4.29171180725098
"Milan","1995",4.56261444091797
"Milan","1996",4.70283603668213
"Milan","1997",4.82243204116821
"Milan","1998",5.06653261184692
"Milan","1999",5.21120738983154
"Milan","2000",5.58608770370483
"Milan","2001",6.12525129318237
"Milan","2002",6.22911214828491
"Milan","2003",6.45210409164429
"Milan","2004",6.64770078659058
"Milan","2005",6.97687673568726
"Milan","2006",7.22841119766235
"Milan","2007",7.29815530776978
"Milan","2008",7.7099232673645
"Milan","2009",7.95422267913818
"Milan","2010",8.19333553314209
"Milan","2011",8.81856346130371
"Milan","2012",9.08203220367432
"Milan","2013",9.75571632385254
"Milan","2014",10.1098232269287
"Milan","2015",10.33274269104
"Milan","2016",10.4021215438843
"Milan","2017",10.6455583572388
"Milan","2018",11.2166795730591
"Milan","2019",11.7381753921509
"Milan","2020",12.0887784957886
"Milan","2021",12.4410638809204
"Milan","2022",12.8322353363037
"Milan","2023",13.1318883895874
"Milan","2024",12.9288892745972
"Milan","2025",13.2036123275757
"Milan","2026",13.658839225769
"Milan","2027",14.1415786743164
"Milan","2028",14.8936176300049
"Milan","2029",15.5213193893433
"Milan","2030",16.2182922363281
"Milan","2031",16.7331485748291
"Milan","2032",17.3166980743408
"Milan","2033",17.4593448638916
"Milan","2034",17.9968738555908
"Milan","2035",18.5187358856201
"Milan","2036",19.3890266418457
"Milan","2037",20.5890083312988
"Milan","2038",21.1739730834961
"Milan","2039",21.9556045532227
"Milan","2040",22.8251323699951
"Milan","2041",23.6210060119629
"Milan","2042",24.8222160339355
"Milan","2043",25.4492454528809
"Milan","2044",26.1084213256836
"Milan","2045",27.0403118133545
"Milan","2046",28.3444194793701
"Milan","2047",29.2756061553955
"Milan","2048",29.7389068603516
"Milan","2049",30.6184215545654
"Milan","2050",31.4241142272949
"Milan","2051",32.5599021911621
"Milan","2052",33.4428405761719
"Milan","2053",34.1981773376465
"Milan","2054",35.816951751709
"Milan","2055",37.1322822570801
"Milan","2056",38.2043838500977
"Milan","2057",39.1746215820312
"Milan","2058",39.7654190063477
"Milan","2059",40.538745880127
"Milan","2060",41.1852416992188
"Milan","2061",42.0087661743164
"Milan","2062",43.1539497375488
"Milan","2063",44.7233085632324
"Milan","2064",45.7566299438477
"Milan","2065",46.9017219543457
"Milan","2066",47.4171714782715
"Milan","2067",48.0024566650391
"Milan","2068",49.1373634338379
"Milan","2069",50.0859870910645
"Milan","2070",50.581901550293
"Milan","2071",51.0233383178711
"Milan","2072",51.668529510498
"Milan","2073",52.5126991271973
"Milan","2074",53.3537139892578
"Milan","2075",54.4947547912598
"Milan","2076",55.3047714233398
"Milan","2077",56.3972206115723
"Milan","2078",57.3376579284668
"Milan","2079",58.5916862487793
"Milan","2080",59.7855987548828
"Milan","2081",60.3427047729492
"Milan","2082",61.2989120483398
"Milan","2083",62.3508605957031
"Milan","2084",62.8578681945801
"Milan","2085",63.4262886047363
"Munich","1986",2.54558110237122
"Munich","1987",2.58740901947021
"Munich","1988",2.66594886779785
"Munich","1989",2.6106960773468
"Munich","1990",2.68762731552124
"Munich","1991",2.90121340751648
"Munich","1992",3.00040912628174
"Munich","1993",3.06037378311157
"Munich","1994",3.36466073989868
"Munich","1995",3.42792439460754
"Munich","1996",3.57280850410461
"Munich","1997",3.67532587051392
"Munich","1998",3.71356678009033
"Munich","1999",3.70968198776245
"Munich","2000",3.91002678871155
"Munich","2001",4.23301410675049
"Munich","2002",4.32604885101318
"Munich","2003",4.47719812393188
"Munich","2004",4.59410572052002
"Munich","2005",4.82834720611572
"Munich","2006",4.87619781494141
"Munich","2007",5.03006029129028
"Munich","2008",5.25238180160522
"Munich","2009",5.1874852180481
"Munich","2010",5.23692178726196
"Munich","2011",5.65077304840088
"Munich","2012",5.87253141403198
"Munich","2013",6.24251937866211
"Munich","2014",6.38322067260742
"Munich","2015",6.56899118423462
"Munich","2016",6.61979579925537
"Munich","2017",6.74964618682861
"Munich","2018",7.07694482803345
"Munich","2019",7.45518493652344
"Munich","2020",7.58829975128174
"Munich","2021",7.70075941085815
"Munich","2022",7.86549472808838
"Munich","2023",7.86935710906982
"Munich","2024",7.6973352432251
"Munich","2025",7.89727830886841
"Munich","2026",7.95879602432251
"Munich","2027",7.98693370819092
"Munich","2028",8.44895648956299
"Munich","2029",8.76361179351807
"Munich","2030",9.11200332641602
"Munich","2031",9.08652114868164
"Munich","2032",9.30302715301514
"Munich","2033",9.21037197113037
"Munich","2034",9.28084373474121
"Munich","2035",9.31441783905029
"Munich","2036",9.71600437164307
"Munich","2037",10.1648998260498
"Munich","2038",10.3233947753906
"Munich","2039",10.6487398147583
"Munich","2040",11.0655326843262
"Munich","2041",11.6155309677124
"Munich","2042",12.0783357620239
"Munich","2043",12.4733467102051
"Munich","2044",12.7360467910767
"Munich","2045",13.0020685195923
"Munich","2046",13.4324817657471
"Munich","2047",13.6904926300049
"Munich","2048",13.7475728988647
"Munich","2049",14.0178833007812
"Munich","2050",14.2813653945923
"Munich","2051",14.4687452316284
"Munich","2052",14.755802154541
"Munich","2053",15.0747451782227
"Munich","2054",15.9086647033691
"Munich","2055",16.345157623291
"Munich","2056",16.9567317962646
"Munich","2057",17.6653289794922
"Munich","2058",17.6506729125977
"Munich","2059",17.933521270752
"Munich","2060",18.163911819458
"Munich","2061",18.7374401092529
"Munich","2062",19.3178539276123
"Munich","2063",20.3313579559326
"Munich","2064",20.7163009643555
"Munich","2065",21.4506225585938
"Munich","2066",21.7991733551025
"Munich","2067",21.9274711608887
"Munich","2068",22.3026561737061
"Munich","2069",22.9547710418701
"Munich","2070",23.2227573394775
"Munich","2071",23.2626323699951
"Munich","2072",23.399528503418
"Munich","2073",23.4192295074463
"Munich","2074",23.5780467987061
"Munich","2075",24.4217491149902
"Munich","2076",24.9985885620117
"Munich","2077",25.669059753418
"Munich","2078",25.9895553588867
"Munich","2079",26.5475654602051
"Munich","2080",27.1183605194092
"Munich","2081",27.5972442626953
"Munich","2082",28.1893138885498
"Munich","2083",28.487060546875
"Munich","2084",28.6383457183838
"Munich","2085",28.912036895752
"Paris","1986",3.97622585296631
"Paris","1987",4.09684181213379
"Paris","1988",4.29570150375366
"Paris","1989",4.24684190750122
"Paris","1990",4.38060998916626
"Paris","1991",4.50991630554199
"Paris","1992",4.62342500686646
"Paris","1993",4.85027170181274
"Paris","1994",5.03228569030762
"Paris","1995",5.21641063690186
"Paris","1996",5.39141082763672
"Paris","1997",5.46658134460449
"Paris","1998",5.42693185806274
"Paris","1999",5.48745346069336
"Paris","2000",5.79140281677246
"Paris","2001",6.10096979141235
"Paris","2002",6.22947692871094
"Paris","2003",6.08123064041138
"Paris","2004",6.11210441589355
"Paris","2005",6.29754829406738
"Paris","2006",6.32964754104614
"Paris","2007",6.35193204879761
"Paris","2008",6.51149129867554
"Paris","2009",6.34999990463257
"Paris","2010",6.44719886779785
"Paris","2011",6.76263952255249
"Paris","2012",6.76194143295288
"Paris","2013",7.10562515258789
"Paris","2014",7.15211820602417
"Paris","2015",7.06825733184814
"Paris","2016",7.16132831573486
"Paris","2017",6.98439645767212
"Paris","2018",7.26729536056519
"Paris","2019",7.58352756500244
"Paris","2020",7.54458427429199
"Paris","2021",7.41527795791626
"Paris","2022",7.57544994354248
"Paris","2023",7.48220062255859
"Paris","2024",7.31009483337402
"Paris","2025",7.32939147949219
"Paris","2026",7.23711204528809
"Paris","2027",7.35342931747437
"Paris","2028",7.75422096252441
"Paris","2029",7.83659219741821
"Paris","2030",7.89431238174438
"Paris","2031",7.91668224334717
"Paris","2032",8.01001739501953
"Paris","2033",8.02299785614014
"Paris","2034",8.15212631225586
"Paris","2035",8.21949100494385
"Paris","2036",8.74116230010986
"Paris","2037",9.05247497558594
"Paris","2038",9.14625263214111
"Paris","2039",9.6492395401001
"Paris","2040",9.94441318511963
"Paris","2041",10.360110282898
"Paris","2042",11.0962524414062
"Paris","2043",11.5813388824463
"Paris","2044",12.0142383575439
"Paris","2045",12.2386255264282
"Paris","2046",12.663275718689
"Paris","2047",13.2628412246704
"Paris","2048",13.1602115631104
"Paris","2049",13.6561765670776
"Paris","2050",14.1176681518555
"Paris","2051",14.5487279891968
"Paris","2052",15.0151386260986
"Paris","2053",15.276629447937
"Paris","2054",15.865758895874
"Paris","2055",16.1890907287598
"Paris","2056",16.7381210327148
"Paris","2057",17.329174041748
"Paris","2058",17.290922164917
"Paris","2059",17.994701385498
"Paris","2060",18.2007522583008
"Paris","2061",18.627592086792
"Paris","2062",19.4006671905518
"Paris","2063",20.5773429870605
"Paris","2064",20.7668151855469
"Paris","2065",21.322696685791
"Paris","2066",21.6912021636963
"Paris","2067",22.0744495391846
"Paris","2068",23.1426067352295
"Paris","2069",23.5702362060547
"Paris","2070",23.8179550170898
"Paris","2071",23.9444522857666
"Paris","2072",24.287260055542
"Paris","2073",24.4158592224121
"Paris","2074",24.7827835083008
"Paris","2075",25.774450302124
"Paris","2076",26.1792755126953
"Paris","2077",26.7851486206055
"Paris","2078",27.4706707000732
"Paris","2079",28.1350555419922
"Paris","2080",28.7665500640869
"Paris","2081",29.110933303833
"Paris","2082",29.1615467071533
"Paris","2083",29.9811916351318
"Paris","2084",30.5584659576416
"Paris","2085",31.2847843170166
"Rome","1986",2.76575112342834
"Rome","1987",2.97572994232178
"Rome","1988",3.0960202217102
"Rome","1989",3.02362704277039
"Rome","1990",3.02627730369568
"Rome","1991",3.12250018119812
"Rome","1992",3.31677103042603
"Rome","1993",3.38829517364502
"Rome","1994",3.79833459854126
"Rome","1995",3.99050521850586
"Rome","1996",4.03661823272705
"Rome","1997",4.11894655227661
"Rome","1998",4.27776908874512
"Rome","1999",4.37104940414429
"Rome","2000",4.66813850402832
"Rome","2001",5.05208015441895
"Rome","2002",5.22593879699707
"Rome","2003",5.40523433685303
"Rome","2004",5.64223766326904
"Rome","2005",5.91411542892456
"Rome","2006",6.05014514923096
"Rome","2007",6.30701875686646
"Rome","2008",6.51492643356323
"Rome","2009",6.67133951187134
"Rome","2010",6.77583169937134
"Rome","2011",7.17152214050293
"Rome","2012",7.29740524291992
"Rome","2013",7.87865018844604
"Rome","2014",8.2562837600708
"Rome","2015",8.5834789276123
"Rome","2016",8.73659038543701
"Rome","2017",8.98463821411133
"Rome","2018",9.63619327545166
"Rome","2019",10.0404281616211
"Rome","2020",10.4539260864258
"Rome","2021",10.9894371032715
"Rome","2022",11.2445411682129
"Rome","2023",11.5492830276489
"Rome","2024",11.4737358093262
"Rome","2025",11.8409643173218
"Rome","2026",12.3682985305786
"Rome","2027",12.9212102890015
"Rome","2028",13.6599044799805
"Rome","2029",14.1691999435425
"Rome","2030",14.8704977035522
"Rome","2031",15.2099714279175
"Rome","2032",15.8046388626099
"Rome","2033",15.9465494155884
"Rome","2034",16.3196926116943
"Rome","2035",16.80153465271
"Rome","2036",17.8072166442871
"Rome","2037",18.7698287963867
"Rome","2038",19.4444179534912
"Rome","2039",20.3617744445801
"Rome","2040",21.1148509979248
"Rome","2041",22.139575958252
"Rome","2042",23.3326148986816
"Rome","2043",24.1363334655762
"Rome","2044",24.4815082550049
"Rome","2045",25.2264366149902
"Rome","2046",26.1698589324951
"Rome","2047",26.8249397277832
"Rome","2048",27.0700073242188
"Rome","2049",27.9138698577881
"Rome","2050",28.5345134735107
"Rome","2051",29.383918762207
"Rome","2052",30.1694793701172
"Rome","2053",30.8163585662842
"Rome","2054",32.2243576049805
"Rome","2055",33.2414360046387
"Rome","2056",34.2409629821777
"Rome","2057",35.1249389648438
"Rome","2058",35.5643463134766
"Rome","2059",36.2159194946289
"Rome","2060",36.7793998718262
"Rome","2061",37.7397003173828
"Rome","2062",38.707389831543
"Rome","2063",40.2649765014648
"Rome","2064",41.30859375
"Rome","2065",42.3099060058594
"Rome","2066",42.8818016052246
"Rome","2067",43.478832244873
"Rome","2068",44.3721008300781
"Rome","2069",45.0840873718262
"Rome","2070",45.7142105102539
"Rome","2071",46.1867446899414
"Rome","2072",46.7973022460938
"Rome","2073",47.2312469482422
"Rome","2074",48.1837615966797
"Rome","2075",49.136531829834
"Rome","2076",50.0601272583008
"Rome","2077",51.0809020996094
"Rome","2078",52.0802917480469
